Time [s],Channel 0
-0.003922800,0
-0.000001240,1
-0.000000000,0
0.000002080,1
0.000003360,0
0.000005440,1
0.000006680,0
0.000008760,1
0.000010000,0
0.000012080,1
0.000013360,0
0.000015440,1
0.000016680,0
0.000018760,1
0.000020000,0
0.000022080,1
0.000023360,0
0.000025400,1
0.000026680,0
0.000028760,1
0.000030000,0
0.000032080,1
0.000033360,0
0.000035400,1
0.000036680,0
0.000038760,1
0.000040000,0
0.000042080,1
0.000043360,0
0.000045400,1
0.000046680,0
0.000048760,1
0.000050000,0
0.003325280,1
0.003326560,0
0.003328640,1
0.003329880,0
0.003331960,1
0.003333200,0
0.003335280,1
0.003336560,0
0.003338640,1
0.003339880,0
0.003341960,1
0.003343200,0
0.003345280,1
0.003346560,0
0.003348640,1
0.003349880,0
0.003351960,1
0.003353200,0
0.003355280,1
0.003356560,0
0.003358640,1
0.003359880,0
0.003361960,1
0.003363200,0
0.003365280,1
0.003366560,0
0.003368640,1
0.003369880,0
0.003371960,1
0.003373200,0
0.003375280,1
0.003376560,0
0.007307040,1
0.007308320,0
0.007310400,1
0.007311640,0
0.007313720,1
0.007314960,0
0.007317040,1
0.007318320,0
0.007320400,1
0.007321640,0
0.007323720,1
0.007324960,0
0.007327040,1
0.007328320,0
0.007330400,1
0.007331640,0
0.007333720,1
0.007334960,0
0.007337040,1
0.007338320,0
0.007340400,1
0.007341640,0
0.007343720,1
0.007344960,0
0.007347040,1
0.007348320,0
0.007350400,1
0.007351640,0
0.007353720,1
0.007354960,0
0.007357040,1
0.007358320,0
0.011106920,1
0.011108160,0
0.011110240,1
0.011111520,0
0.011113560,1
0.011114840,0
0.011116920,1
0.011118160,0
0.011120240,1
0.011121520,0
0.011123560,1
0.011124840,0
0.011126920,1
0.011128160,0
0.011130240,1
0.011131520,0
0.011133560,1
0.011134840,0
0.011136920,1
0.011138160,0
0.011140240,1
0.011141520,0
0.011143560,1
0.011144840,0
0.011146920,1
0.011148160,0
0.011150240,1
0.011151480,0
0.011153560,1
0.011154840,0
0.011156920,1
0.011158160,0
0.015304640,1
0.015305880,0
0.015307960,1
0.015309240,0
0.015311320,1
0.015312560,0
0.015314640,1
0.015315880,0
0.015317960,1
0.015319240,0
0.015321320,1
0.015322560,0
0.015324640,1
0.015325880,0
0.015327960,1
0.015329240,0
0.015331320,1
0.015332560,0
0.015334640,1
0.015335880,0
0.015337960,1
0.015339240,0
0.015341320,1
0.015342560,0
0.015344640,1
0.015345880,0
0.015347960,1
0.015349240,0
0.015351320,1
0.015352560,0
0.015354640,1
0.015355880,0
0.019325760,1
0.019327000,0
0.019329080,1
0.019330360,0
0.019332440,1
0.019333680,0
0.019335760,1
0.019337000,0
0.019339080,1
0.019340360,0
0.019342440,1
0.019343680,0
0.019345760,1
0.019347000,0
0.019349080,1
0.019350360,0
0.019352440,1
0.019353680,0
0.019355760,1
0.019357000,0
0.019359080,1
0.019360360,0
0.019362440,1
0.019363680,0
0.019365760,1
0.019367000,0
0.019369080,1
0.019370360,0
0.019372440,1
0.019373680,0
0.019375760,1
0.019377000,0
0.023303960,1
0.023305200,0
0.023307280,1
0.023308560,0
0.023310640,1
0.023311880,0
0.023313960,1
0.023315200,0
0.023317280,1
0.023318560,0
0.023320640,1
0.023321880,0
0.023323960,1
0.023325200,0
0.023327280,1
0.023328560,0
0.023330640,1
0.023331880,0
0.023333960,1
0.023335200,0
0.023337280,1
0.023338560,0
0.023340640,1
0.023341880,0
0.023343960,1
0.023345200,0
0.023347280,1
0.023348560,0
0.023350640,1
0.023351880,0
0.023353960,1
0.023355200,0
0.027243560,1
0.027244800,0
0.027246880,1
0.027248160,0
0.027250240,1
0.027251480,0
0.027253560,1
0.027254800,0
0.027256880,1
0.027258160,0
0.027260240,1
0.027261480,0
0.027263560,1
0.027264800,0
0.027266880,1
0.027268160,0
0.027270240,1
0.027271480,0
0.027273560,1
0.027274800,0
0.027276880,1
0.027278160,0
0.027280240,1
0.027281480,0
0.027283560,1
0.027284800,0
0.027286880,1
0.027288160,0
0.027290200,1
0.027291480,0
0.027293560,1
0.027294800,0
0.031170920,1
0.031172160,0
0.031174240,1
0.031175480,0
0.031177560,1
0.031178840,0
0.031180880,1
0.031182160,0
0.031184240,1
0.031185480,0
0.031187560,1
0.031188840,0
0.031190880,1
0.031192160,0
0.031194240,1
0.031195480,0
0.031197560,1
0.031198840,0
0.031200880,1
0.031202160,0
0.031204240,1
0.031205480,0
0.031207560,1
0.031208840,0
0.031210880,1
0.031212160,0
0.031214240,1
0.031215480,0
0.031217560,1
0.031218840,0
0.031220880,1
0.031222160,0
0.035323120,1
0.035324360,0
0.035326440,1
0.035327720,0
0.035329800,1
0.035331040,0
0.035333120,1
0.035334360,0
0.035336440,1
0.035337720,0
0.035339800,1
0.035341040,0
0.035343120,1
0.035344360,0
0.035346440,1
0.035347720,0
0.035349800,1
0.035351040,0
0.035353120,1
0.035354360,0
0.035356440,1
0.035357720,0
0.035359800,1
0.035361040,0
0.035363120,1
0.035364360,0
0.035366440,1
0.035367720,0
0.035369800,1
0.035371040,0
0.035373120,1
0.035374360,0
0.039994360,1
0.039995600,0
0.039997680,1
0.039998920,0
0.040001000,1
0.040002280,0
0.040004360,1
0.040005600,0
0.040007680,1
0.040008920,0
0.040011000,1
0.040012280,0
0.040014360,1
0.040015600,0
0.040017680,1
0.040018920,0
0.040021000,1
0.040022280,0
0.040024360,1
0.040025600,0
0.040027680,1
0.040028920,0
0.040031000,1
0.040032280,0
0.040034360,1
0.040035600,0
0.040037680,1
0.040038920,0
0.040041000,1
0.040042280,0
0.040044360,1
0.040045600,0
0.043243600,1
0.043244840,0
0.043246920,1
0.043248200,0
0.043250280,1
0.043251520,0
0.043253600,1
0.043254840,0
0.043256920,1
0.043258200,0
0.043260240,1
0.043261520,0
0.043263600,1
0.043264840,0
0.043266920,1
0.043268200,0
0.043270240,1
0.043271520,0
0.043273600,1
0.043274840,0
0.043276920,1
0.043278200,0
0.043280240,1
0.043281520,0
0.043283600,1
0.043284840,0
0.043286920,1
0.043288200,0
0.043290240,1
0.043291520,0
0.043293600,1
0.043294840,0
0.047303640,1
0.047304880,0
0.047306960,1
0.047308240,0
0.047310320,1
0.047311560,0
0.047313640,1
0.047314880,0
0.047316960,1
0.047318240,0
0.047320320,1
0.047321560,0
0.047323640,1
0.047324880,0
0.047326960,1
0.047328240,0
0.047330320,1
0.047331560,0
0.047333640,1
0.047334880,0
0.047336960,1
0.047338240,0
0.047340320,1
0.047341560,0
0.047343640,1
0.047344880,0
0.047346960,1
0.047348240,0
0.047350320,1
0.047351560,0
0.047353640,1
0.047354880,0
0.051187120,1
0.051188400,0
0.051190480,1
0.051191720,0
0.051193800,1
0.051195040,0
0.051197120,1
0.051198400,0
0.051200480,1
0.051201720,0
0.051203800,1
0.051205040,0
0.051207120,1
0.051208400,0
0.051210480,1
0.051211720,0
0.051213800,1
0.051215040,0
0.051217120,1
0.051218400,0
0.051220480,1
0.051221720,0
0.051223800,1
0.051225040,0
0.051227120,1
0.051228400,0
0.051230480,1
0.051231720,0
0.051233800,1
0.051235040,0
0.051237120,1
0.051238400,0
0.055305360,1
0.055306600,0
0.055308680,1
0.055309960,0
0.055312040,1
0.055313280,0
0.055315360,1
0.055316600,0
0.055318680,1
0.055319960,0
0.055322040,1
0.055323280,0
0.055325360,1
0.055326600,0
0.055328680,1
0.055329960,0
0.055332040,1
0.055333280,0
0.055335360,1
0.055336600,0
0.055338680,1
0.055339960,0
0.055342040,1
0.055343280,0
0.055345360,1
0.055346600,0
0.055348680,1
0.055349960,0
0.055352040,1
0.055353280,0
0.055355360,1
0.055356600,0
0.059241440,1
0.059242720,0
0.059244800,1
0.059246040,0
0.059248120,1
0.059249360,0
0.059251440,1
0.059252720,0
0.059254800,1
0.059256040,0
0.059258120,1
0.059259360,0
0.059261440,1
0.059262720,0
0.059264800,1
0.059266040,0
0.059268120,1
0.059269360,0
0.059271440,1
0.059272720,0
0.059274800,1
0.059276040,0
0.059278120,1
0.059279360,0
0.059281440,1
0.059282720,0
